id,key,value,type
103368378,traffic_signals,signal,regular
103369027,highway,traffic_signals,regular
103369402,highway,traffic_signals,regular
103369402,traffic_signals,signal,regular
103369404,highway,traffic_signals,regular
103369444,highway,traffic_signals,regular
103369446,highway,traffic_signals,regular
103370071,highway,traffic_signals,regular
103370071,traffic_signals,signal,regular
103370072,highway,traffic_signals,regular
103370072,traffic_signals,signal,regular
103370074,highway,traffic_signals,regular
103370083,highway,traffic_signals,regular
103370083,traffic_signals,signal,regular
103370089,highway,traffic_signals,regular
103370089,traffic_signals,signal,regular
103370096,highway,traffic_signals,regular
103370096,traffic_signals,signal,regular
103370107,highway,traffic_signals,regular
103370107,traffic_signals,signal,regular
103370115,highway,traffic_signals,regular
103370120,highway,traffic_signals,regular
103370120,traffic_signals,signal,regular
103370199,highway,traffic_signals,regular
103370242,highway,traffic_signals,regular
103370276,highway,traffic_signals,regular
103370304,highway,traffic_signals,regular
103370334,highway,traffic_signals,regular
103370363,highway,motorway_junction,regular
103370437,highway,traffic_signals,regular
103370487,highway,traffic_signals,regular
103370507,highway,traffic_signals,regular
103370970,highway,traffic_signals,regular
103372153,highway,turning_loop,regular
103372975,highway,turning_circle,regular
103373882,highway,traffic_signals,regular
103374004,highway,turning_circle,regular
103374108,highway,traffic_signals,regular
103374112,highway,traffic_signals,regular
103374871,railway,level_crossing,regular
103375304,railway,level_crossing,regular
103376512,highway,traffic_signals,regular
103376627,highway,traffic_signals,regular
103376631,highway,traffic_signals,regular
103376920,highway,traffic_signals,regular
103376920,traffic_signals,signal,regular
103376922,highway,traffic_signals,regular
103376924,highway,traffic_signals,regular
103376924,traffic_signals,signal,regular
103376928,railway,level_crossing,regular
103376950,highway,traffic_signals,regular
103376950,traffic_signals,signal,regular
103376970,highway,traffic_signals,regular
103377729,highway,traffic_signals,regular
103377784,highway,turning_loop,regular
103378073,highway,traffic_signals,regular
103378577,highway,turning_circle,regular
103378718,highway,traffic_signals,regular
103379088,highway,motorway_junction,regular
103379088,ref,2,regular
103379188,highway,traffic_signals,regular
103379204,highway,traffic_signals,regular
103379204,traffic_signals,signal,regular
103379208,highway,traffic_signals,regular
103379208,traffic_signals,signal,regular
103379654,highway,traffic_signals,regular
103380871,highway,traffic_signals,regular
103380872,highway,traffic_signals,regular
103380939,highway,traffic_signals,regular
103381205,highway,motorway_junction,regular
103381205,noref,yes,regular
103381747,highway,turning_loop,regular
103381768,highway,turning_loop,regular
103382281,highway,traffic_signals,regular
103382285,highway,traffic_signals,regular
103382983,highway,traffic_signals,regular
103383237,highway,traffic_signals,regular
103383279,highway,traffic_signals,regular
103383368,highway,turning_circle,regular
103383640,highway,traffic_signals,regular
103383644,highway,traffic_signals,regular
103383660,highway,traffic_signals,regular
103383660,traffic_signals,signal,regular
103383660,direction,both,traffic_signals
103384742,highway,motorway_junction,regular
103384769,highway,motorway_junction,regular
103384769,noref,yes,regular
103384777,highway,traffic_signals,regular
103384786,highway,traffic_signals,regular
103385228,highway,traffic_signals,regular
103385228,traffic_signals,signal,regular
103385934,highway,traffic_signals,regular
103385934,traffic_signals,signal,regular
103386992,highway,traffic_signals,regular
103387828,highway,traffic_signals,regular
103387828,traffic_signals,signal,regular
103387949,highway,traffic_signals,regular
103387949,traffic_signals,signal,regular
103390169,highway,traffic_signals,regular
103390303,highway,turning_circle,regular
103390303,source,Yahoo,regular
103390434,highway,traffic_signals,regular
103390552,highway,traffic_signals,regular
103390576,highway,traffic_signals,regular
103390578,highway,traffic_signals,regular
103390615,highway,traffic_signals,regular
103390666,highway,traffic_signals,regular
103390685,highway,traffic_signals,regular
103390688,highway,traffic_signals,regular
103390732,highway,traffic_signals,regular
103390917,highway,traffic_signals,regular
103391603,highway,traffic_signals,regular
103391628,highway,traffic_signals,regular
103391635,highway,traffic_signals,regular
103391638,highway,traffic_signals,regular
103391747,highway,traffic_signals,regular
103391751,highway,traffic_signals,regular
103392446,highway,traffic_signals,regular
103392479,highway,traffic_signals,regular
103392632,highway,turning_circle,regular
103392662,highway,traffic_signals,regular
103393656,highway,turning_circle,regular
103393865,highway,traffic_signals,regular
103393865,traffic_signals,signal,regular
103394117,railway,level_crossing,regular
103394357,highway,turning_circle,regular
103394589,highway,turning_circle,regular
103394601,highway,traffic_signals,regular
103394748,highway,traffic_signals,regular
103394752,highway,traffic_signals,regular
103395716,highway,traffic_signals,regular
103395716,traffic_signals,signal,regular
103395754,highway,traffic_signals,regular
103395754,traffic_signals,signal,regular
103396393,highway,traffic_signals,regular
103396549,railway,level_crossing,regular
103396661,railway,level_crossing,regular
103397935,highway,traffic_signals,regular
103397939,highway,traffic_signals,regular
103397947,highway,traffic_signals,regular
103398068,railway,level_crossing,regular
103398221,highway,turning_circle,regular
103398677,highway,traffic_signals,regular
103399325,highway,traffic_signals,regular
103399527,highway,traffic_signals,regular
103399528,highway,traffic_signals,regular
103400284,highway,traffic_signals,regular
103400323,highway,traffic_signals,regular
103400388,highway,traffic_signals,regular
103400427,highway,traffic_signals,regular
103400427,traffic_signals,signal,regular
103400454,highway,traffic_signals,regular
103400480,highway,traffic_signals,regular
103400482,highway,traffic_signals,regular
103400496,highway,traffic_signals,regular
103400524,highway,traffic_signals,regular
103400575,highway,traffic_signals,regular
103400577,highway,traffic_signals,regular
103400608,highway,traffic_signals,regular
103401074,railway,level_crossing,regular
103401450,highway,traffic_signals,regular
103401510,railway,level_crossing,regular
103401680,highway,turning_loop,regular
103401955,highway,traffic_signals,regular
103402001,highway,traffic_signals,regular
103402491,highway,turning_circle,regular
103402789,highway,traffic_signals,regular
103403232,highway,turning_circle,regular
103403792,highway,turning_loop,regular
103404059,highway,traffic_signals,regular
103404173,highway,turning_circle,regular
103404237,highway,traffic_signals,regular
103404303,highway,traffic_signals,regular
103404303,traffic_signals,signal,regular
103404693,highway,traffic_signals,regular
103404693,traffic_signals,signal,regular
103404712,highway,traffic_signals,regular
103404714,railway,level_crossing,regular
103405367,highway,traffic_signals,regular
103406242,highway,traffic_signals,regular
103406242,traffic_signals,signal,regular
103406546,highway,traffic_signals,regular
103406554,highway,traffic_signals,regular
103406591,railway,level_crossing,regular
103406640,highway,turning_circle,regular
103407133,highway,turning_circle,regular
103408232,highway,turning_circle,regular
103408352,railway,level_crossing,regular
103408594,highway,turning_circle,regular
103408933,highway,turning_circle,regular
103409890,highway,traffic_signals,regular
103409913,highway,traffic_signals,regular
103409933,highway,traffic_signals,regular
103409936,highway,traffic_signals,regular
103409941,highway,traffic_signals,regular
103409957,highway,traffic_signals,regular
103409968,highway,traffic_signals,regular
103409982,highway,traffic_signals,regular
103410007,highway,traffic_signals,regular
103410021,highway,traffic_signals,regular
103410192,highway,traffic_signals,regular
103410548,highway,turning_circle,regular
103410982,highway,turning_circle,regular
103411430,highway,turning_circle,regular
103411430,source,Yahoo,regular
103411536,highway,turning_loop,regular
103412984,highway,turning_circle,regular
103413340,highway,turning_circle,regular
103413675,highway,traffic_signals,regular
103413763,highway,turning_circle,regular
103413872,highway,traffic_signals,regular
103413872,traffic_signals,signal,regular
103413896,highway,traffic_signals,regular
103413898,highway,traffic_signals,regular
103413954,railway,level_crossing,regular
103414471,highway,turning_circle,regular
103414832,highway,turning_circle,regular
103416127,highway,traffic_signals,regular
103416127,traffic_signals,signal,regular
103416301,highway,traffic_signals,regular
103416330,highway,traffic_signals,regular
103416330,traffic_signals,signal,regular
103416348,highway,traffic_signals,regular
103416348,traffic_signals,signal,regular
103416422,highway,turning_loop,regular
103416489,highway,traffic_signals,regular
103416539,barrier,gate,regular
103416715,highway,traffic_signals,regular
103416979,highway,traffic_signals,regular
103417916,railway,level_crossing,regular
103419336,highway,traffic_signals,regular
103419344,highway,traffic_signals,regular
103419344,traffic_signals,signal,regular
103419542,highway,traffic_signals,regular
103420059,highway,turning_circle,regular
103420269,highway,traffic_signals,regular
103420269,traffic_signals,signal,regular
103420277,highway,traffic_signals,regular
103420277,traffic_signals,signal,regular
103420641,barrier,toll_booth,regular
103420663,highway,motorway_junction,regular
103420663,ref,5B,regular
103420876,highway,motorway_junction,regular
103420876,ref,5B,regular
103421195,highway,traffic_signals,regular
103421281,highway,traffic_signals,regular
103421281,traffic_signals,signal,regular
103421548,highway,traffic_signals,regular
103421553,highway,traffic_signals,regular
103421575,highway,traffic_signals,regular
103421580,highway,traffic_signals,regular
103421583,highway,traffic_signals,regular
103421586,highway,traffic_signals,regular
103421590,highway,traffic_signals,regular
103421627,highway,traffic_signals,regular
103423220,highway,traffic_signals,regular
103423225,highway,traffic_signals,regular
103423284,highway,traffic_signals,regular
103423376,highway,traffic_signals,regular
103423376,traffic_signals,signal,regular
103423383,highway,traffic_signals,regular
103423383,traffic_signals,signal,regular
103423388,railway,level_crossing,regular
103423393,highway,traffic_signals,regular
103423393,traffic_signals,signal,regular
103424408,highway,turning_circle,regular
103426090,railway,level_crossing,regular
103426373,railway,level_crossing,regular
103426840,railway,level_crossing,regular
103426861,railway,level_crossing,regular
103427111,railway,level_crossing,regular
103427127,name,Pennsauken-Rt 73,regular
103427127,railway,station,regular
103427127,wheelchair,yes,regular
103427699,name,Collingswood,regular
103427699,operator,PATCO,regular
103427699,public_transport,stop_position,regular
103427699,railway,stop,regular
103427699,subway,yes,regular
103427699,wikidata,Q5147279,regular
103427729,name,Westmont,regular
103427729,public_transport,stop_position,regular
103427729,railway,stop,regular
103427729,subway,yes,regular
103427729,wikidata,Q5790971,regular
103427778,name,Haddonfield,regular
103427778,public_transport,stop_position,regular
103427778,railway,stop,regular
103427778,subway,yes,regular
103427778,wikidata,Q5637713,regular
103428074,railway,level_crossing,regular
103428257,railway,level_crossing,regular
103428374,railway,level_crossing,regular
103428517,railway,level_crossing,regular
103428545,railway,level_crossing,regular
103428710,railway,level_crossing,regular
103428747,railway,level_crossing,regular
103428798,railway,level_crossing,regular
103428841,railway,level_crossing,regular
103428913,name,Ferry Avenue,regular
103428913,public_transport,stop_position,regular
103428913,railway,stop,regular
103428913,subway,yes,regular
103428913,wikidata,Q5445477,regular
103429158,railway,level_crossing,regular
103429443,railway,level_crossing,regular
103429447,railway,level_crossing,regular
103429604,railway,level_crossing,regular
103429615,railway,level_crossing,regular
103429625,railway,level_crossing,regular
103429641,railway,level_crossing,regular
103429693,railway,level_crossing,regular
103429763,railway,level_crossing,regular
103429767,railway,level_crossing,regular
103429769,railway,level_crossing,regular
103429775,railway,level_crossing,regular
103429788,railway,level_crossing,regular
103429790,railway,level_crossing,regular
103429795,railway,level_crossing,regular
103430536,railway,level_crossing,regular
103430541,highway,traffic_signals,regular
103430545,highway,traffic_signals,regular
103430689,highway,traffic_signals,regular
103430689,traffic_signals,signal,regular
103430701,highway,traffic_signals,regular
103430701,traffic_signals,signal,regular
103430703,highway,traffic_signals,regular
103430703,traffic_signals,signal,regular
103431014,railway,level_crossing,regular
103431089,highway,traffic_signals,regular
103431163,highway,turning_circle,regular
103431163,source,Yahoo,regular
103431838,access,no,regular
103431838,barrier,gate,regular
103432318,highway,turning_circle,regular
103432541,highway,turning_circle,regular
103432657,highway,traffic_signals,regular
103432793,highway,traffic_signals,regular
103433396,highway,turning_circle,regular
103433629,highway,turning_circle,regular
103433629,source,Yahoo,regular
103434227,highway,turning_loop,regular
103434544,highway,traffic_signals,regular
103434544,traffic_signals,signal,regular
103434678,highway,traffic_signals,regular
103434817,highway,traffic_signals,regular
103434821,highway,traffic_signals,regular
103436330,highway,turning_circle,regular
103437009,highway,traffic_signals,regular
103437031,highway,traffic_signals,regular
103437077,highway,traffic_signals,regular
103437106,highway,traffic_signals,regular
103437503,highway,traffic_signals,regular
103439527,railway,level_crossing,regular
103439581,railway,level_crossing,regular
103440132,highway,traffic_signals,regular
103440166,highway,traffic_signals,regular
103440169,crossing,zebra,regular
103440169,highway,crossing,regular
103440197,highway,traffic_signals,regular
103440274,highway,traffic_signals,regular
103440274,traffic_signals,signal,regular
103440307,highway,traffic_signals,regular
103441767,highway,turning_circle,regular
103441767,source,Yahoo,regular
103442740,highway,turning_circle,regular
103443702,highway,traffic_signals,regular
103443760,highway,traffic_signals,regular
103443764,highway,traffic_signals,regular
103445264,railway,level_crossing,regular
103445755,highway,turning_circle,regular
103445755,source,Yahoo,regular
103445792,highway,turning_circle,regular
103445816,highway,traffic_signals,regular
103445816,traffic_signals,signal,regular
103445899,railway,level_crossing,regular
103446457,highway,traffic_signals,regular
